Job ID,Job Title,Company Name,Location,Professionalism,ApplicationLink,Description,Requirements
11,"Associate Professional Services Consultant Intern 2025- UAE National, AWS",Amazon,"Dubai, ARE",Intern,https://www.amazon.jobs/en/jobs/2812507/associate-professional-services-consultant-intern-2025-uae-national-aws,"As a Professional Services intern, you will gain hands-on experience in cloud computing, develop business acumen, and learn about Amazon’s peculiar culture. You will work on projects, have the opportunity to obtain the AWS Cloud Practitioner certification, and attend professional development events.","Currently in your penultimate or final year of Computer Science, Computer Engineering, Computer Information Systems or related science/technical fields. Graduating from a degree in 2026. Experience with one of the programming languages: Java, Python, Ruby, Node.js, C#, or C++. Experience with Networking fundamentals, Security, Storage or Databases, Operating Systems, UAE National with family book."
12,"Data Scientist -Generative AI, Amazon University Talent Acquisition",Amazon,"Dubai, ARE",University Talent,https://www.amazon.jobs/en/jobs/2845691/data-scientist-generative-ai-amazon-university-talent-acquisition,"Amazon launched the Generative AI Innovation Center (GenAIIC) in June 2023 to help AWS customers accelerate the use of generative AI to solve business and operational problems and promote innovation in their organization. This is a team of strategists, data scientists, engineers, and solution architects working step-by-step with customers to build bespoke solutions that harness the power of generative AI.","Master's degree or equivalent experience; Experience building a range of AI/ML models; Experience in any of the following areas: algorithms and data structures, parsing, numerical optimization, data mining, parallel and distributed computing, high-performance computing, neural deep learning methods and/or machine learning."
13,"2025 Technical Business Developer Intern - UAE National, AWS",Amazon,"Dubai, ARE",Intern,https://www.amazon.jobs/en/jobs/2812471/2025-technical-business-developer-intern-uae-national-aws,"The AWS internship program will start in June /July 2025 and focused on Penultimate year students who graduate in 2026. Amazon Web Services is innovating new ways of building massively scalable distributed systems and delivering the next generation of cloud services that support commercial and public sector customers around the world. We hold high standards for our computer systems and the services we deliver to our customers: our systems are highly secure, highly reliable, highly available, all while functioning at massive scale. Our employees are smart, passionate about the cloud, driven to serve customers, and fun to work with. Our regions are the primary means by which we deliver AWS services around the world and we are seeking a Technical Business Development will to participate in and influence new business capture strategy and proposals for new regions. You will provide inputs to written proposals, and guide our approach to building regions in response to emerging customer needs and unique opportunities. In this role, you will be at the forefront of AWS solutions. Technical Business Developer Interns will scale their perspective from opportunities and implementation to strategies for large public sector customers or geographic regions. We value the ability to proactively and productively engage in discussions with stakeholders, across AWS, with differing perspectives, opinions, and priorities while driving to solutions that best serve our customers. Amazon internships are full-time (40 hours/week) for 12 consecutive weeks, in Summer 2025.","- Undergraduate currently enrolled in an accredited University/College pursuing a Bachelor’s Degree or higher in IT, Information Systems, Computer Science, Engineering, or related Technical field. Must be in Penultimate year with a graduation date in 2026.
- UAE National with family book"
14,"2025 Early Career Talent Sales Account Executive - UAE National, AWS",Amazon,"Dubai, ARE",Early Career,https://www.amazon.jobs/en/jobs/2819329/2025-early-career-talent-sales-account-executive-uae-national-aws,"As an Early Career Talent (ECT) Account Executive at AWS, you will further develop, and be responsible for, customer acquisition, growth, and support and contribute to the strategic priorities for the region. The ECT Account Executive role is part of a dedicated program that accommodates for an accelerated development path into AWS, Cloud Technology and Sales. You will build a robust technical and commercial foundation to support growing AWS’ footprint and cloud adoption at scale. Upon successful completion of the program you will transition into our Central Sales team. In this full sales-cycle role, you will use your sales and technical experience to work proactively with existing and prospective customers to accelerate their journey to the cloud. You will own a business project to help solve a business problem or unlock a business opportunity, which will focus on innovation, automation, scalability and driving business impact.","• Completed BA / BS degree
• Arabic and English language proficiency
• UAE National with family book
• Basic knowledge and understanding of existing cloud technologies
• 1-2 years in B2B sales (preferred)
• Experience with full sales cycle ownership and new business development (preferred)
• Technology-related sales or business development experience (preferred)"
15,"2025 Operational Security Internship - UAE National, DC Security",Amazon,"Dubai, ARE",Intern,https://www.amazon.jobs/en/jobs/2816828/2025-operational-security-internship-uae-national-dc-security,"Amazon Web Services (AWS) is growing rapidly, and we are looking for an Operational Security Specialist Intern to join our expanding Data Centre team in Dubai. As a Data Centre Operational Security Specialist Intern, you will be tasked with driving operational security excellence within our Data Centres. You will write reports, create presentations and communicate with management on the status of physical security operations.","In pursuit of a Bachelor’s Degree within Criminology/Criminal Justice or other relevant field. Knowledge of access control and video surveillance software applications (eg. LENEL or C-cure). Interest in investigating accidents, thefts, disturbances, and discrepancies. Desire to work in a facility observing security gaps in physical barriers, security officer procedure, policies, surveillance equipment, and alarm points. Ability to write detailed reports."
16,"2025 AWS Commercial Sales Internship- UAE National, AWS",Amazon,"Dubai, ARE",Intern,https://www.amazon.jobs/en/jobs/2812482/2025-aws-commercial-sales-internship-uae-national-aws,"The AWS internship program will start in June /July 2025 and focused on Penultimate year students who graduate in 2026. This paid internship will give you the chance to take on a unique internship project in our sales organization, enabling you to make a tangible impact and encourage you to build and innovate in the Amazonian way.","• Graduating from a Bachelor's or Master's degree in 2026. • Computer skills, including Microsoft Office (e.g., Excel, Word, etc.) • UAE National with family book."
17,2025 Business Analyst Intern,Amazon,"Dubai, ARE",Intern,https://www.amazon.jobs/en/jobs/2804208/2025-business-analyst-intern,"At Amazon, we are working to be the most customer-centric company on earth. The Amazon MENA University Talent Acquisition Team is looking for ambitious students to join us as a Business Analyst Intern, working in one of our core businesses, including Retail, Amazon Vendor Services, Merchant Services, Prime Video, Prime Now, Amazon Fresh, and Amazon Advertising. Internship expectations include: Learning from operational, finance, retail and technical teams across the organization to identify opportunities, supporting the development of sound business cases and driving measurements of actions to continuously improve on the inputs and ultimately the outputs of the business.","- Currently enrolled in or will receive a Bachelor’s or Master’s Degree with a graduation date between December 2025 and June 2027
- Enrolled in a Bachelor’s or Master's degree in mathematics, engineering, statistics, computer science, business, or related field
- Experience with SQL or ETL
- Experience in financial/business analysis
- Experience defining requirements and using data and metrics to draw business insights
- Fluent written and verbal communication in English
- Available to commence an internship between January and December 2025. Yes, our start dates are flexible! You should then be available for 3-6 months, full time (40h/week)."
18,Executive Support Analyst,Accenture,Dubai,Entry Level,https://www.accenture.com/ae-en/careers/jobdetails?id=R00243031_en&title=Executive%20Support%20Analyst,"The role of an executive assistant is important to the success of the executive and, as a result, the company. An executive assistant helps the executive for whom they work with tasks such as scheduling; reviewing, prioritizing and responding to emails; answering and returning phone calls; organizing documents; maintaining records; taking notes at meetings and any other administrative tasks that help the executive perform their job.","Excellent written and verbal communication skills; Bachelors degree or equivalent; Time-management skills; Ability to pay attention to detail; Organization skills; Ability to multitask; Basic understanding of frequently used computer software and programs, such as Microsoft Office; Interpersonal skills."
19,Digital Integration Analyst,Accenture,Dubai,Entry Level,https://www.accenture.com/ae-en/careers/jobdetails?id=R00226291_en&title=Digital%20Integration%20Analyst,"Ensure our work communicates clearly, is on brand, and delights users. Explain and discuss design decisions eloquently and give design feedback. Assist with the definition and creation of flexible, coherent design systems and component libraries. Work with design, technology, and project management to ensure the design meets creative, strategy, and project objectives. Contribute design to mood boards, concept sketches, presentation decks, style guides, and storyboards under specific direction from the project’s Creative Lead. Understand brand strategy and the organizational/political dynamics of assigned brands, including the critical processes that drive them and the key players involved.","A recent graduate from a digital design background. Practical command of standard design applications (i.e. Photoshop, Illustrator, InDesign, Keynote, Sketch, InVision); experience with video editing, motion graphics, and prototyping software is a plus. Strong student, freelance, or comparable digital design portfolio with examples of mobile and touch work. Practical awareness of delivery methodologies with an emphasis on agile. Ability to utilize feedback/direction from the Creative Lead to generate multiple design explorations and iterate those designs to the satisfaction of the Creative Lead. Basic understanding of technical and cross-platform implications (strengths and limitations of individual native, hybrid, and HTML platforms)."
20,Capital Projects Analyst,Accenture,Dubai,Entry Level,https://www.accenture.com/ae-en/careers/jobdetails?id=12599747_en&title=Capital%20Projects%20Analyst,"You will have the opportunity to work on exciting projects and contribute to the success of our team. Expected to perform independently and become an SME. Required active participation/contribution in team discussions. Contribute in providing solutions to work related problems. Enable the processes, systems, and methodologies for large scale and complex portfolio management of Capital Projects. Optimize the return and outcomes throughout the lifecycle of an asset. Provide end-to-end service for investors, developers, and operators to maximize the value from infrastructure investment.","Bachelor's Degree in Industrial Engineering, Electrical Engineering or Mechanical Engineering"
21,Capital Projects Analyst,Accenture,Abu Dhabi,Entry Level,https://www.accenture.com/ae-en/careers/jobdetails?id=12599740_en&title=Capital%20Projects%20Analyst,"You will have the opportunity to work on exciting projects and contribute to the success of our team. Expected to perform independently and become an SME. Required active participation/contribution in team discussions. Contribute in providing solutions to work related problems. Enable the processes, systems, and methodologies for large scale and complex portfolio management of Capital Projects. Optimize the return and outcomes throughout the lifecycle of an asset. Provide end-to-end service for investors, developers, and operators to maximize the value from infrastructure investment.","Bachelor's Degree, preferably technical. Keen to learn & be flexible around different setups."
22,Strategy Analyst,Accenture,Dubai,Entry Level,https://www.accenture.com/ae-en/careers/jobdetails?id=R00175211_en&title=Strategy%20Analyst,"There will never be a typical day at Accenture, but that’s why people love it here. The opportunities to make a difference within exciting client initiatives are limitless in this ever-changing business landscape. Here are some of the things you’ll do: Structure and perform analysis and primary research that address business issues and generate insights about client and industry business performance improvement. Develop business cases and plans that are detailed, actionable and reflect Accenture Strategy’s deep industry, IT and business process acumen. Present at team and client meetings, and determine the most practical way to drive lasting results based on your insights. Help our clients build the capabilities they need for growth, innovation and sustainable high performance. Work in multi-disciplinary teams and leverage the power of Accenture’s global reach and end-to-end capabilities to deliver results. Help clients understand leading-edge technology capabilities and the transformational impact they may have on their business. Engage with the broader strategy community to foster collaboration and support growth and development of the Strategy business.","Undergraduate and/or Master Degree programs. A consistent track record of outstanding academic performance at school and university. Strong quantitative acumen, with the ability to think analytically to identify and solve problems and drive strategic insights. Proven leadership roles in extra-curricular activities. An outcome oriented and impactful approach. Excellent communications and relationship building skills. An ability to collaborate and work successfully in a team. An ability to work in a high intensity environment. Digitally/Technology savvy. The flexibility to work on different projects/different locations. Proficiency in English and Arabic. Experience with MS Office (PowerPoint, Excel, Word) preferable. International experience studying or working overseas highly advantageous."
23,Business Analyst Intern,Mckinsey & Company,Abu Dhabi,Intern,https://www.mckinsey.com/careers/search-jobs/jobs/businessanalystintern-15275,"As a business analyst intern, you will help our clients in the private, public, and social sectors solve some of their most pressing problems. You’ll work in teams to identify, and oftentimes implement, potential solutions for a specific client problem or challenge. You will gather and analyze information, formulate and test hypotheses, develop and communicate recommendations, and present results to client management.","In your junior year of an undergraduate degree with expected graduation between December 2025 – August 2026, ability to work collaboratively in a team, capability to drive an independent workstream, comfort with ambiguous situations, ability to break down and solve problems through quantitative thinking, and effective communication skills in English and local office languages."
24,Associate Intern,Mckinsey & Company,Abu Dhabi,Intern,https://www.mckinsey.com/careers/search-jobs/jobs/associateintern-14918,"You will join one of our offices around the world for 8-10 weeks, usually in the summer, to work in teams and directly with our clients. In this role, you will help our clients in private, public, and social sectors solve their most pressing problems. You will also work with many experts, from data scientists and researchers to software and app designers. You'll work in teams of typically 3 - 5 consultants to identify, and oftentimes implement, potential solutions for a specific client problem or challenge. Together, you will help clients make lasting improvements to their performance and realize their most important goals.","Bachelor’s degree; Advanced graduate degree in progress (e.g., MBA, PhD, etc.); Academic degree requirements may vary by country. Ability to work collaboratively in a team and create an inclusive environment with people at all levels of an organization. Capability to drive an independent workstream in the context of a broader team project Comfort with ambiguous, ever-changing situations. Ability to break down and solve problems through quantitative thinking and analysis. Ability to communicate effectively, both verbally and in writing, in English and local office language(s)."
25,Bidayati – Internship Programme,e&,United Arab Emirates,Internship,https://iaayey.fa.ocs.oraclecloud26.com/hcmUI/CandidateExperience/en/sites/CX_1/job/10010/?keyword=early+career&location=United+Arab+Emirates&locationId=300000000447826&locationLevel=country&mode=location,"Bidayati – Early Careers Programme is a unique and modern internship program which offers a dynamic and innovative environment where ambitious students and recent graduates of all academic levels can gain hands on experience implementing theoretical knowledge. It is designed to bridge the gap between academic understanding and real-world challenges, the program integrates cutting-edge technology and methodologies to provide a comprehensive learning experience.","GPA: 2.6+, Studying in an accredited university by the ministry of education. Required duration: minimum of 4 weeks and a maximum of 16 weeks of trainings."
26,Intern Global Credit Markets UAE 2025 (UAE National),Standard Chartered Bank,"Dubai, AE",Intern,https://jobs.standardchartered.com/job/Dubai-Intern-Global-Credit-Markets-UAE-2025-%28UAE-National-%29/802324202/?feedId=363857&utm_source=CareerSite,"Global Credit Markets, part of our Corporate and Investment Banking (CIB) function, are the leading emerging markets credit franchise, with capabilities across a broad spectrum of credit products. Services include loan origination, distribution, local and G3 currency debt, investment grade and high-yield, fixed income and equity repos, bespoke collateralised financing and asset-backed solutions.","We welcome students from all degree disciplines and encourage applicants from diverse backgrounds. We are looking for team players with strong academic and extracurricular achievements, agile multi-taskers able to handle pressure, and analytical minds with strong numeracy and attention to detail. You need to be a penultimate year student, able to intern in June 2025 and start full-time employment in July 2026. You’ll have the permanent legal right to work in the country you’re applying to."
27,Intern Investment Banking UAE 2025 ( UAE National),Standard Chartered Bank,"Dubai, AE",Intern,https://jobs.standardchartered.com/job/Dubai-Intern-Investment-Banking-UAE-2025-%28-UAE-National-%29/802322302/?feedId=363857&utm_source=CareerSite,"Our Investment Banking team, part of our Corporate and Investment Banking (CIB) function, provides corporate and advisory services to facilitate capital raising for clients, underwriting, IPOs, mergers and acquisitions, and the execution of advisory mandates.","We welcome students from all degree disciplines and encourage applicants from diverse backgrounds. We’re looking for team players with excellent academic achievements and extracurricular activities, agile multi-taskers who can handle pressure, analytical minds with numeracy and attention to detail."
28,Intern Financial Markets UAE 2025 ( UAE National),Standard Chartered Bank,"Dubai, AE",Intern,https://jobs.standardchartered.com/job/Dubai-Intern-Financial-Markets-UAE-2025-%28-UAE-National-%29/802321202/?feedId=363857&utm_source=CareerSite,"Our Markets business is part of our Corporate and Investment Banking (CIB) function. We provide clients with risk management, financing and investment expertise, through bespoke solutions across asset classes and building trusted relationships in various industries and sectors. The internship will involve both classroom instruction and on-the-job training along with networking opportunities and community service engagement.","Eligible candidates must be penultimate year students with the permanent legal right to work in the UAE, able to intern in June 2025 and start full-time employment in July 2026. We welcome students from all degree disciplines, with a focus on those from technical backgrounds like Computer Science, Engineering, Mathematics, Physics, and Statistics."
29,Intern Corporate and Financial Institutions Coverage UAE 2025 ( UAE National),Standard Chartered Bank,"Dubai, AE",Intern,https://jobs.standardchartered.com/job/Dubai-Intern-Corporate-and-Financial-Institutions-Coverage-UAE-2025-%28-UAE-National-%29/802320702/?feedId=363857&utm_source=CareerSite,"Globally, Corporate and Financial Institutions Coverage is part of our Corporate and Investment Banking (CIB) function, and is responsible for managing and developing our client relationships. We work across the global network together with our product partners to deliver working capital, financing, trade, cash and financial markets solutions for our clients. The solutions cover a wide range of products and services from sustainable trade finance, to credit derivatives and mergers and acquisitions (M&A) advisory. Join us if you want to work with some of the most influential local and global corporates in your geographies. You’ll get the opportunity to work with lots of different teams within the Corporate & Investment Banking (CIB) business function and more broadly across the Bank. Our Corporate and Financial Institutions Coverage team are an essential component of our customer experience, guiding clients through our products and solutions and they work closely with our product partners, internal specialist teams and stakeholders throughout. Our interns will work either with our Credit Analysts or with our team of Relationship Managers.","We welcome students from all degree disciplines and encourage applicants from diverse backgrounds. We are looking for team players with strong academic and extracurricular achievements, agile multi-taskers able to handle pressure, and analytical minds with strong numeracy and attention to detail. You need to be a penultimate year student, able to intern in June 2025 and start full-time employment in July 2026. You’ll have the permanent legal right to work in the country you’re applying to."
30,Intern Transaction Banking UAE 2025 ( UAE National),Standard Chartered Bank,"Dubai, AE",Intern,https://jobs.standardchartered.com/job/Dubai-Intern-Transaction-Banking-UAE-2025-%28-UAE-National-%29/802319202/?feedId=363857&utm_source=CareerSite,"Our Transaction Banking team, part of our Corporate and Investment Banking (CIB) function, are world-class subject matter experts and specialists who develop, implement, and manage a wide range of products and solutions including cash management, international trade services, supply-chain finance, working capital and treasury advisory and structuring. We help clients manage their daily cash, trade and working capital operations through digitally enabled solutions and data that power their decisions and drive profitability. Our 10-week Internship Programme gives you the opportunity to gain first-hand experience working on real-world problems, hone your skills, create lasting relationships, gain insights, and discover your strengths. Throughout the programme, you'll acquire the skills for immediate success, as well as understand what's required for the future as our industry and your career evolve. A strong performance on the programme, could lead to a graduate job offer.","You need to be a penultimate year student, able to intern in June 2025* and start full-time employment in July 2026. You’ll have the permanent legal right to work in the country you’re applying to."
31,Intern SC Ventures UAE 2025 ( UAE National),Standard Chartered Bank,"Dubai, AE",Intern,https://jobs.standardchartered.com/job/Dubai-Intern-SC-Ventures-UAE-2025-%28-UAE-National-%29/802611802/?feedId=363857&utm_source=CareerSite,"Today’s technology enables customers to connect directly, without the need for financial intermediaries. Disruption today is about finding innovative, technological solutions to problems, and to reimagine the future. In our case, we’re experimenting with paths and business models, even ones we’ve never ventured in before. We’re investing now, to create optionality for the future. That’s why disrupting through digital is one of our strategic priorities. SC Ventures aims to enable and accelerate innovation, by providing a safe space for different parts of our Bank, and external partners, to collaborate, explore and test solutions, to solve today’s real business problems and the challenges of tomorrow.","We welcome students from all degree disciplines with excellent academic records and encourage applicants from diverse backgrounds. You’ll be a penultimate year student, able to intern in June 2025, and start full time employment in July 2026. You’ll have the permanent legal right to work in the country you’re applying to. We’re looking for team players who are agile, flexible, multi-tasking and open to nimble learning."
32,Engineering Graduate - Electrical/Mechanical - Excellent Opportunity for UAE Nationals,Siemens Energy,United Arab Emirates,Recent College Graduate,https://jobs.siemens-energy.com/en_US/jobs/FolderDetail/Engineering-Graduate-Electrical-Mechanical-Excellent-Opportunity-for-UAE-Nationals/265754,"At Siemens Energy, we are committed to driving the energy transition and shaping the future of energy. In this program you will have the opportunity to work on innovative projects, gain valuable industry experience, and contribute to sustainable energy solutions.","Bachelor’s degree or technical diploma in Engineering from an accredited university, preferably in electrical or mechanical engineering. Strong proficiency in Microsoft Office applications. Active listener with excellent communication skills in English. Previous internship or relevant experience in a similar field is advantageous. Ability to communicate effectively with cross-functional teams."
33,AI Engineer (UAE Nationals) - Fresh Graduate Opportunity,EDGE Group PJSC,AE,Entry-level,https://careers.edgegroup.ae/job/AI-Engineer-%28UAE-Nationals%29-Fresh-Graduate-Opportunity/731875222/?utm_source=LINKEDIN&utm_medium=referrer,"We are in search of Emirati professionals with a profound expertise in AI, ML, Computer Vision, Sensor Fusion, Predictive Modeling, Data Analytics, and Deployment. Our aim is to push the boundaries of innovation and enhance our product offerings.","A Bachelor's or Master's degree in Computer Science, Electrical Engineering, or akin disciplines. Knowledge and hands-on experience in sculpting and deploying ML, CV, sensor fusion, and deep learning constructs. Adeptness and experienced in programming with Python, C++, or Matlab, and fluency with deep learning frameworks like TensorFlow, Keras, or PyTorch. Familiarity with containerization technologies like Docker and orchestration tools like Kubernetes. Proficiency in optimization techniques for model training and real-time performance. An analytical mind coupled with impeccable problem-solving prowess, adaptable to a dynamic work rhythm."
34,Client Solutions Internship,FactSet Research Systems Inc.,"Dubai, ARE",Internship,https://factset.wd1.myworkdayjobs.com/en-US/FactSetCareers/details/Client-Solutions-Internship---Dubai--Feb-2025_R25758/apply?hsCtaTracking=5bad2784-dc05-40fe-a68d-fee1a12cdc9b%7C397e76f1-32f7-4fbf-bd20-d38c0c14c7a9&locations=e45ee8093d59018acf4b49439312352f,"During our 20-week long (February to July) paid internship, you will shadow account teams to learn about different client-facing groups, assist account teams with different client projects, and observe Global Sales and Client Solutions professionals as they provide support.","Client Solutions Interns have a strong interest in Finance and/or FinTech, exceptional verbal and written communication skills, strong analytical and problem-solving abilities, and proficiency in Microsoft Office with Excel skills. Final year Master's students or recent graduates are preferred."
35,Dentsu MENA Internship Program 2025,Dentsu,"Riyadh, Dubai",Internship,https://dentsuaegis.wd3.myworkdayjobs.com/en-US/DAN_GLOBAL/details/Dentsu-MENA-Internship-Program-2025_R1078696-1/apply?q=internship&locationCountry=6dfdb00cf8554fb9aab9f4ef39f830e0&locationCountry=d865e83093ad42319653b08e61f7db49&locationCountry=50423b5190ad49bb89e94cd58dfaad69&locationCountry=7b4fa1f369bd4604ba3692682fcbe345&locationRegionStateProvince=1db225a7cdc64df8b1dda64a09ec71f0&locationRegionStateProvince=292e38e19a834a79864f0c3c6c3625af,"Building Talent roster for internship opportunities that may arise for 2025 for Media, Creative, CXM roles across MENA.","Active bachelor students recently graduated in Q4 2024, or graduating in Q1 2025 and beyond."
